,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
14,1558746218,A Second Chicken Soup For The Woman'S Soul (Chicken Soup For The Soul Series),Jack Canfield,1998,Health Communications
18,0440234743,The Testament,John Grisham,1999,Dell
27,0345402871,Airframe,Michael Crichton,1997,Ballantine Books
41,055321215X,Pride And Prejudice,Jane Austen,1983,Bantam
44,0553582909,Icebound,Dean R. Koontz,2000,Bantam Books
45,0671888587,I'Ll Be Seeing You,Mary Higgins Clark,1994,Pocket
91,8445071408,El Senor De Los Anillos: La Comunidad Del Anillo (Lord Of The Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro
92,8445071769,El Senor De Los Anillos: Las Dos Torres (Lord Of The Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro
93,8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord Of The Rings. 3.)",J. R. R. Tolkien,2001,Distribooks
95,0671867156,Pretend You Don'T See Her,Mary Higgins Clark,1998,Pocket
126,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
129,0425184226,The Sum Of All Fears,Tom Clancy,2002,Berkley Publishing Group
136,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
137,0446601640,Slow Waltz In Cedar Bend,Robert James Waller,1994,Warner Books
149,0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book
157,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books
167,0486284735,Pride And Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications
168,0671021745,Eye On Crime: Hardy Boys #153,Franklin W. Dixon,1998,Aladdin
169,0671047612,Skin And Bones,Franklin W. Dixon,2000,Aladdin
170,0671504282,"Law Of The Jungle (Hardy Boys Case File 105) : Law Of The Jungle (Hardy Boys, The)",Franklin W. Dixon,1995,Simon Pulse
174,0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books
207,0345378490,Congo,Michael Crichton,1995,Ballantine Books
219,0385508042,The King Of Torts,John Grisham,2003,Doubleday Books
221,0385511612,Bleachers,John Grisham,2003,Doubleday
229,0451162072,Pet Sematary,Stephen King,1994,Signet Book
238,0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner
244,155874262X,Chicken Soup For The Soul (Chicken Soup For The Soul),Jack Canfield,1993,Health Communications
250,1558744150,Chicken Soup For The Woman'S Soul (Chicken Soup For The Soul Series (Paper)),Jack Canfield,1996,Health Communications
253,006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch
254,0060013117,Night Watch,Terry Pratchett,2002,HarperCollins
255,0060199563,Thief Of Time,Terry Pratchett,2001,HarperCollins Publishers
259,0061040967,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001,HarperCollins
260,0061050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998,HarperPrism
261,0061052515,"Maskerade: A Novel Of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",Terry Pratchett,1997,HarperPrism
262,0061052523,Interesting Times: A Novel Of Discworld,Terry Pratchett,1997,Harpercollins
264,0140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
284,0451526279,Emma (Signet Classics (Paperback)),Jane Austen,1996,Signet Classics
286,0486415864,Great Expectations (Dover Thrift Editions),Charles Dickens,2001,Dover Publications
287,0553280589,Eva Luna,Isabel Allende,1989,Bantam Books
290,0679423079,Nicholas Nickleby (Everyman'S Library),Charles Dickens,1993,Alfred A. Knopf
294,0749748001,The Enchanted Wood,Enid Blyton,2002,Egmont Childrens Books
295,0749748028,The Folk Of The Faraway Tree,Enid Blyton,2002,Egmont Childrens Books
305,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
342,0425120279,The Hunt For Red October,Tom Clancy,1990,Berkley Publishing Group
346,8484509141,Mientras Escribo,Stephen King,2002,Distribooks
350,1559703237,Trying To Save Piggy Sneed,John Irving,1996,Arcade Publishing
361,0385416342,The Firm,John Grisham,1991,Doubleday Books
363,038542471X,The Client,John Grisham,1993,Doubleday Books
368,0515128554,Heart Of The Sea (Irish Trilogy),Nora Roberts,2000,Jove Books
397,0198320264,Julius Caesar (Oxford School Shakespeare),William Shakespeare,2001,Oxford University Press
401,0671867113,Moonlight Becomes You,Mary Higgins Clark,1997,Pocket
402,0812504208,The Adventures Of Tom Sawyer,Mark Twain,1989,Tor Books
451,0345297709,Centaur Aisle,Piers Anthony,1982,Ballantine Books
452,0345313097,Crewel Lye,Piers Anthony,1985,Ballantine Books
453,0345335465,Dragonflight (Dragonriders Of Pern Trilogy (Paperback)),Anne McCaffrey,1991,Del Rey Books
466,0866119566,Oliver Twist (Great Illustrated Classics),Charles Dickens,1989,Playmore Inc. Publishers
470,0553258524,Dragonsong (Harper Hall Trilogy),Anne McCaffrey,1977,Bantam
502,0743424425,The Shining,Stephen King,2001,Pocket
506,0743229878,Mount Vernon Love Story : A Novel Of George And Martha Washington,Mary Higgins Clark,2002,Simon &amp; Schuster
519,0060932759,Daughter Of Fortune,Isabel Allende,2000,Perennial
559,0671673688,While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket
574,0553272837,Brazen Virtue,Nora Roberts,1996,Bantam Books
577,0425181111,Strangers,Dean R. Koontz,2002,Berkley Publishing Group
580,0373484100,Night Tales,Nora Roberts,2000,Silhouette
584,0515127833,River'S End,Nora Roberts,2003,Jove Books
589,0385424728,The Chamber,John Grisham,1994,Doubleday Books
592,0385472951,The Partner,John Grisham,1997,Doubleday Books
597,0743412621,The Second Time Around : A Novel,Mary Higgins Clark,2004,Pocket
609,0345369947,The Mummy Or Ramses The Damned,Anne Rice,1991,Ballantine Books
622,0743206053,Kitchen Privileges : A Memoir,Mary Higgins Clark,2002,Simon &amp; Schuster
647,068484267X,Angela'S Ashes: A Memoir,Frank McCourt,1999,Scribner
673,0821775863,The Future Scrolls,Fern Michaels,2003,Zebra Books
674,0821770209,About Face,Fern Michaels,2003,Zebra Books
745,0140620427,Sense And Sensibility (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
763,0743206045,Daddy'S Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster
768,0679603352,The Cider House Rules: A Novel (Modern Library),John Irving,1999,Modern Library
783,0399147128,The Villa,Nora Roberts,2001,Putnam Publishing Group
787,0743230051,He Sees You When You'Re Sleeping : A Novel,Mary Higgins Clark,2001,Scribner
798,0446602086,The Proud And The Free,Janet Dailey,1995,Warner Vision
813,0140292918,"Of Mice And Men (Steinbeck \Essentials\"")""",John Steinbeck,2001,Penguin Books Ltd
850,0451181379,The Door To December,Dean R. Koontz,1994,Signet Book
860,0425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group
878,1573229571,About A Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
881,0743211383,Dreamcatcher,Stephen King,2001,Scribner
925,0451155750,The Dead Zone,Stephen King,2004,Signet Book
938,0451454243,The Forest House,Marion Zimmer Bradley,1995,Roc
945,039914563X,The Bear And The Dragon,Tom Clancy,2000,G. P. Putnam's Sons
948,0425161722,Net Force,Tom Clancy,1999,Berkley Publishing Group
958,0425134350,Patriot Games,Tom Clancy,1992,Berkley Publishing Group
978,0380759497,Xanth 15: The Color Of Her Panties,Piers Anthony,1992,Eos
1018,0425124347,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group
1046,0140620109,Emma (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
1056,0345347536,A Spell For Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books
1085,0345418018,The World According To Garp (Ballantine Reader'S Circle),John Irving,1997,Ballantine Books
1099,0553273604,Of Love And Shadows,Isabel Allende,1988,Bantam Books
1100,0553273914,The House Of The Spirits,Isabel Allende,1986,Bantam Books
1122,0140042393,The Grapes Of Wrath,John Steinbeck,1976,Penguin USA
1130,0451124340,Different Seasons,Stephen King,1983,Penguin Putnam~mass
1133,0345422392,Vittorio The Vampire: New Tales Of The Vampires,Anne Rice,2001,Ballantine Books
1154,006019491X,Daughter Of Fortune : A Novel (Oprah'S Book Club (Hardcover)),Isabel Allende,1999,HarperCollins
1159,0066211611,Portrait In Sepia,Isabel Allende,2001,HarperCollins Publishers
1169,3453171977,Das Meer Und Kleine Fische.,Terry Pratchett,2000,Heyne
1172,0345375211,The Book Of Lost Tales 1 (The History Of Middle-Earth - Volume 1),J. R. R. Tolkien,1992,Del Rey Books
1195,0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books
1201,0743457943,Trading Places,Fern Michaels,2003,Pocket Star
1202,0373484224,Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,Silhouette
1304,0345297687,Ship Who Sang,Anne McCaffrey,1979,Del Rey Books
1308,0345368940,The Dolphins Of Pern,Anne McCaffrey,1994,Ballantine Books
1309,0345331605,Dragonsdawn,Anne McCaffrey,1988,Ballantine Books
1321,0345301870,"Ogre, Ogre",Piers Anthony,1982,Del Rey Books
1322,0451169530,The Stand: Complete And Uncut,Stephen King,1991,Signet Book
1326,0553258001,The Cider House Rules,John Irving,1986,Bantam Books
1333,0671568809,Strange Memories The Nancy Drew Files 122 (Nancy Drew Files (Paperback)),Carolyn Keene,1997,Simon Pulse
1336,051513399X,Smoke In Mirrors,Jayne Ann Krentz,2002,Jove Books
1337,0373218400,Table For Two,Nora Roberts,2002,Silhouette
1383,0142000663,The Grapes Of Wrath: John Steinbeck Centennial Edition (1902-2002),John Steinbeck,2002,Penguin Books
1387,0345361792,A Prayer For Owen Meany,John Irving,1990,Ballantine Books
1391,0861638522,Popular Reward: The Brave Toy Soldier: And Other Stories (Enid Blyton'S Popular Rewards Series Vii),Enid Blyton,1996,Award Publications
1406,1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor
1417,0671721038,"The New Hugo Winners, Vol. 2",Isaac Asimov,1991,Baen
1428,1558744606,Chicken Soup For The Mother'S Soul (Chicken Soup For The Soul Series (Paper)),Jack Canfield,1997,Health Communications
1430,0451526503,Adventures Of Huckleberry Finn (Signet Classics (Paperback)),Mark Twain,1997,Signet Book
1452,0385510438,The Last Juror,John Grisham,2004,Doubleday
