,country,Lat,Long
8,australia,47.7563917,7.0194428
9,austria,50.6288684,3.785318028
11,bahamas,42.1877996,22.3876518
16,belgium,52.5170365,13.3888599
19,bermuda,29.1059864,58.3565663
24,brazil,42.0979745,19.0954528
26,bulgaria,45.6944947,9.6698727
30,canada,-22.1822689,-44.68776
34,chile,51.6901245,-9.5131483
35,china,19.3091175,100.1647501
39,costa rica,41.3650699,-95.858422
43,czech republic,49.8037633,15.4749126
44,denmark,25.2856329,51.5264162
47,dominican republic,42.9000719,18.0298066
49,egypt,56.9079254,-6.160063789
56,finland,14.0685426,-5.4854786
57,france,46.8101241,7.171828
61,germany,47.3521149,5.0008333
73,hong kong,31.0869054,53.3006387
74,hungary,31.2322758,121.4692071
76,india,66.8789958,13.44650821
78,iran,32.4207423,53.6830157
80,ireland,26.721715,127.786429
81,israel,45.8055591,1.2238259
82,italy,45.6628887,10.118138
92,kuwait,32.9281731,35.0756378
101,luxembourg,29.1539219,105.3788947
106,malaysia,34.130278,107.835
113,mexico,25.20193915,55.15419673
124,netherlands,31.7428456,50.1793258
125,new zealand,34.7360048,36.3011029
131,norway,45.8299398,24.2830582
139,philippines,11.6978352,122.6217542
141,portugal,50.8017661,21.4238281
143,qatar,25.2856329,51.5264162
144,romania,44.9466518,11.7626169
148,saint lucia,13.5820827,14.3788329
153,saudi arabia,3.0733644,101.5195149
158,singapore,48.8658607,12.9046953
160,slovenia,14.6248479,104.4510392
165,spain,43.0174862,0.3737441
169,sweden,49.1660575,-0.5243876
170,switzerland,30.7334421,76.7797143
178,trinidad and tobago,18.3449742,97.00330542
184,united arab emirates,-0.6858283,-48.04675
185,united kingdom,32.5663362,35.3715486
186,united states,49.1009451,1.9672466
190,venezuela,5.1632955,-69.4146705
