,User-ID,ISBN,Book-Rating
33,276788,043935806X,7
74,276835,3125785006,10
81,276847,3423071516,10
103,276847,3551551693,10
107,276847,360893541X,10
108,276847,3608935428,10
109,276847,3608935436,10
136,276861,360893541X,9
137,276861,3608935428,9
138,276861,3608935436,9
151,276866,345309221X,8
152,276866,3453108361,7
217,276925,8420444367,9
221,276925,8426109799,8
320,276984,059043649X,9
380,277048,3426615355,7
387,277051,3442430496,9
397,277072,1573229571,9
471,277157,074320607X,7
573,277212,044023722X,8
885,277478,1558745718,8
941,277523,1558744150,10
1023,277623,1400031346,8
1024,277623,1400031354,8
1047,277639,034539657X,8
1090,277665,3453007867,9
1098,277681,2253057649,4
1140,277727,3453171861,10
1141,277727,3453198875,10
1231,277898,1558744606,8
1247,277904,006019491X,7
1333,277945,051512317X,7
1401,277982,1853260282,5
1411,277989,1558745157,6
1441,278023,1558747281,5
1599,278137,1556611536,9
1600,278137,1558744150,9
1601,278137,1558745017,8
1619,278162,059035342X,10
1763,278221,1556611188,9
1764,278221,1556611536,9
1765,278221,1556612257,10
1766,278221,155661246X,9
1837,278346,051513287X,6
1858,278356,043935806X,10
1900,278401,3426600218,9
1948,278418,042513525X,5
2141,278554,1853260282,7
2191,278582,1400034779,10
2349,278832,155874262X,10
2350,278832,1558745718,10
2351,278832,1558747109,10
2363,278843,059035342X,8
2451,92,8445071408,7
2452,92,8445071769,8
2453,92,8445071777,10
2646,243,044023722X,7
2653,243,155874262X,5
2660,244,155874262X,6
2661,244,1558744150,6
2723,256,044023722X,8
2759,361,8484509141,4
2910,503,068484267X,10
2914,503,1558743669,10
3077,638,1558747028,10
3120,643,1853260002,2
3137,643,2253049417,9
3142,643,2253170127,7
3143,643,2253170372,8
3144,643,2253170569,8
3187,660,1573229571,8
3374,843,006019491X,8
3389,850,3453171977,10
3397,850,3596142229,10
3423,882,039607412X,10
3501,914,3785532237,7
3602,1025,068484267X,9
3628,1054,1400034779,8
3650,1075,1400034779,5
3652,1082,1558744606,10
3753,1172,3453151933,10
3784,1211,2070364283,7
3828,1219,082176828X,6
3889,1294,037348285X,8
3943,1399,037542217X,9
4060,1435,068484267X,8
4077,1435,155874262X,10
4124,1530,044023722X,8
4132,1548,034540288X,5
4322,1733,037383232X,9
4346,1733,051513287X,9
4355,1733,059035342X,10
4368,1733,1551664348,7
4394,1792,155874262X,8
4408,1805,038082101X,7
4729,2033,043935806X,9
4740,2033,051513628X,6
4832,2036,1573229326,9
4876,2084,8484509125,6
4928,2110,037361490X,5
4937,2110,037364292X,7
4964,2110,059035342X,10
4969,2110,059045367X,8
4971,2110,059047054X,7
5050,2152,037542217X,7
5108,2203,014043187X,7
5115,2216,3257218370,8
5159,2276,034528643X,8
5549,2437,051512317X,7
5663,2503,1400034779,7
5696,2565,1558743669,10
5817,2766,014034294X,9
5888,2766,1558745718,7
5889,2766,1561797464,10
5912,2776,1558744630,8
6044,2907,044023722X,5
6235,3145,1573229326,5
6254,3167,034540288X,7
6374,3326,3453061187,6
6413,3344,1400034779,9
6471,3355,843509975X,6
6678,3418,059035342X,10
6774,3542,044651652X,3
6792,3556,044651652X,10
6840,3578,1573225517,10
6927,3675,1593080255,10
6945,3675,9500720418,7
6964,3709,067102423X,10
6977,3719,051512608X,7
7002,3757,042509345X,7
7034,3757,8401341744,9
7043,3757,8401422248,9
7062,3757,8420604666,8
7063,3757,8420604690,8
7228,3757,842720146X,7
7600,3827,034538475X,8
7669,3840,051513287X,9
7943,4017,068484267X,10
7966,4017,1558746161,10
8040,4097,8440691491,7
8093,4138,1573227331,8
8209,4221,1558743669,9
8221,4224,3462025864,8
8226,4225,1573229326,5
8239,4260,2253054747,7
8240,4260,2253171395,6
8675,4571,1400034779,9
8710,4622,034540288X,4
8817,4795,1558743669,8
8853,4838,034540047X,6
8918,4938,042513525X,7
8960,4999,1400031354,10
8961,4999,1400034779,10
9018,5102,8433920863,8
9040,5158,2253044911,8
9072,5207,059035342X,8
9140,5225,3426600218,5
9168,5287,1558747028,6
9248,5350,3453127013,7
9358,5459,1558748040,8
9401,5490,044808919X,5
9495,5543,014070731X,7
9585,5582,044651652X,7
9652,5582,1558744150,5
9860,5868,051512317X,9
9885,5899,3453123271,9
10035,6051,042513024X,8
10039,6061,3518383973,7
10129,6102,1573229326,4
10143,6115,037542217X,9
10151,6115,1400031354,10
10164,6153,1558743669,7
10171,6169,051513287X,7
10181,6196,155874424X,10
10187,6218,014032870X,9
10382,6242,068484267X,8
10442,6242,1573227331,6
10445,6242,1573229326,6
10486,6251,014017737X,9
10557,6251,043935806X,9
10608,6251,068484267X,8
10863,6347,1853260045,9
10932,6431,043935806X,10
10992,6507,8483100959,7
10995,6509,3257211945,6
11041,6532,1853260150,8
11228,6543,1400031346,6
11229,6543,1400031354,7
11230,6543,1400031362,8
11271,6563,043935806X,10
11284,6563,059035342X,8
11306,6563,1400031346,8
11308,6563,1558008764,9
11309,6563,1558745017,5
11370,6566,1400034779,9
11437,6575,034536676X,7
11449,6575,037542217X,9
11551,6575,068484267X,9
11596,6575,1400031346,9
11597,6575,1400031354,9
11598,6575,1400034779,9
11601,6575,1566198798,8
11622,6577,068484267X,10
11967,6917,039915079X,7
12031,7056,155874262X,8
12050,7072,059035342X,7
12080,7082,076422400X,6
12083,7082,1556619510,7
12216,7125,1400031354,10
12259,7134,1400034779,7
12313,7158,067100042X,6
12330,7158,155874262X,7
12331,7158,1558748865,9
12347,7181,8449500516,9
12402,7210,1855013592,5
12409,7226,1573225517,9
12458,7283,044023722X,10
12659,7346,014070714X,8
12683,7346,034529873X,8
12684,7346,034530456X,6
12789,7346,044809519X,7
12790,7346,044809522X,7
12890,7346,067173072X,7
12938,7346,155874262X,7
12939,7346,1558743316,7
13059,7482,059035342X,8
13154,7621,1573229326,7
13181,7684,1558745718,7
13215,7809,059035342X,8
13226,7841,014034294X,8
13287,7864,055356403X,5
13339,7887,1558743669,10
13340,7887,1558745157,10
13433,7928,1551668432,8
13626,8066,044023722X,7
13657,8066,1573225517,7
13813,8094,8478884459,10
13815,8094,8478885196,10
13820,8095,014034294X,8
13944,8234,044651652X,5
14034,8245,051511779X,7
14106,8253,034536676X,10
14210,8284,059067319X,9
14290,8362,006095129X,7
14411,8472,9500406977,6
14453,8529,157270120X,8
14458,8529,2253009199,7
14462,8529,2702413722,8
14463,8529,2702426328,7
14467,8529,8401462924,8
14469,8529,8484036383,10
14523,8630,1400034779,7
14533,8660,014062080X,6
14582,8681,014043187X,8
14704,8681,1573225517,10
14705,8681,1573227331,8
14800,8737,006105691X,5
14814,8741,3453147464,5
14837,8774,1558745041,8
14838,8780,1558743669,5
14844,8782,034538170X,10
14940,8864,1400034779,8
14952,8872,006108185X,7
15273,8937,068484267X,10
15375,9029,8401491843,5
15376,9029,8401493129,5
15382,9029,8427285094,5
15398,9034,155874262X,10
15502,9179,3426615355,8
15545,9227,034538430X,2
15607,9289,1551669447,9
15670,9354,051512317X,10
15677,9354,1551660709,6
15822,9460,155874424X,10
15834,9490,059035342X,10
15902,9580,082177364X,7
15983,9637,059035342X,5
16052,9747,059035342X,10
16063,9747,1575665727,10
16092,9850,2290308404,10
16192,9908,043935806X,7
16204,9908,059035342X,10
16300,10030,155874262X,10
16312,10067,000160418X,7
16313,10067,000692347X,10
16356,10085,1558743669,10
16373,10118,059045370X,9
16439,10212,014071491X,8
16549,10314,1558744150,6
16552,10314,1573229326,7
16566,10315,1556612966,8
16577,10334,1558747109,8
16733,10447,155874262X,6
16868,10560,043935806X,10
16897,10560,059035342X,10
16928,10570,1853262544,5
17041,10697,059035342X,10
17054,10710,059056885X,8
17130,10819,034529873X,10
17139,10819,042506803X,9
17144,10819,042509961X,8
17440,11155,044023722X,6
17446,11172,3426609568,7
17475,11198,345307565X,8
17508,11224,038542471X,7
17530,11224,155874262X,8
17534,11230,207054351X,5
17802,11529,1558743669,6
17803,11529,1558745157,7
18210,11676,006019491X,10
18912,11676,019282760X,9
18913,11676,019283357X,10
19433,11676,034529873X,10
19440,11676,034530912X,8
19498,11676,034536676X,10
19520,11676,034538475X,6
19534,11676,034540047X,7
