,User-ID,Location
7,8,canada
11,12,united states
20,22,germany
61,64,france
66,69,canada
67,70,united states
72,75,united states
80,83,united states
88,92,spain
98,102,spain
172,176,united kingdom
179,183,portugal
224,228,united states
238,242,germany
239,243,united states
240,244,united states
250,254,united states
252,256,united states
294,300,united states
304,310,spain
315,323,united states
326,334,finland
329,337,spain
337,345,united states
352,361,spain
363,372,germany
374,383,united states
379,388,united states
383,392,spain
384,393,united kingdom
399,408,united states
437,446,united states
451,460,italy
463,472,united states
467,476,united states
487,496,united states
491,500,united states
494,503,united states
496,505,united states
574,585,italy
584,595,united states
608,619,united states
614,625,france
615,626,austria
617,628,germany
627,638,united states
632,643,france
640,651,united states
646,657,united states
649,660,united states
674,685,united states
684,695,netherlands
694,705,italy
696,707,united states
698,709,united states
701,712,switzerland
717,728,united states
723,735,united states
727,739,united states
729,741,united states
732,744,united states
734,746,united states
741,753,united states
745,757,united states
753,765,united states
761,774,united states
763,776,new zealand
764,778,united states
790,805,united states
796,811,switzerland
803,818,malaysia
819,834,united states
828,843,united states
835,850,germany
838,853,united states
865,882,united states
881,899,germany
883,901,united kingdom
884,902,united states
896,914,germany
903,921,germany
906,924,france
948,969,united states
952,973,united states
999,1021,united states
1000,1022,united states
1003,1025,united kingdom
1004,1026,united states
1010,1032,united states
1032,1054,united states
1035,1057,united kingdom
1041,1063,canada
1052,1075,united states
1059,1082,united states
1060,1083,united states
1072,1095,germany
1073,1096,united states
1075,1098,united states
1093,1116,canada
1106,1129,united states
1113,1137,spain
1131,1155,united states
1142,1166,france
1143,1167,united states
1148,1172,germany
1154,1178,germany
1160,1184,united states
1186,1211,france
1194,1219,malaysia
1209,1234,spain
1217,1242,canada
1223,1248,united states
1227,1252,united states
1229,1254,united states
1237,1262,united states
1252,1279,united states
1267,1294,canada
1269,1297,united states
1285,1314,italy
1300,1330,germany
1318,1348,united states
1325,1355,united states
1329,1360,united states
1330,1361,germany
1341,1372,germany
1345,1376,united states
1364,1395,united states
1368,1399,united states
1378,1409,united states
1381,1412,united states
1393,1424,australia
1404,1435,united states
1405,1436,canada
1411,1442,france
1433,1466,germany
1439,1473,united states
1441,1475,united states
1450,1484,united kingdom
1465,1499,united states
1483,1517,spain
1495,1530,united states
1500,1535,united states
1503,1539,canada
1511,1548,united states
1518,1556,united states
1520,1558,united states
1543,1582,united states
1551,1591,germany
1557,1597,united states
1575,1615,austria
1611,1652,united states
1612,1653,spain
1613,1654,united states
1619,1660,united states
1633,1674,united states
1748,1790,united states
1750,1792,united states
2057,2103,united states
2064,2110,united states
2105,2152,united states
2304,2354,canada
2367,2417,united states
2448,2499,united states
2452,2503,united kingdom
2710,2766,united states
2801,2859,united states
2832,2891,united states
2848,2907,united states
2885,2945,united states
2906,2966,united states
2916,2977,united states
3081,3145,united states
3103,3167,united states
3265,3331,united states
3278,3344,united states
3735,3814,united states
3748,3827,united states
3760,3840,united states
3931,4017,united states
4055,4144,canada
4341,4435,italy
4404,4501,germany
4458,4556,united states
4473,4571,australia
4523,4622,united states
4629,4732,united states
4681,4785,united states
4828,4938,united states
4888,4999,united states
5045,5158,france
5088,5204,france
5455,5582,united states
5508,5638,united states
5725,5861,united states
5767,5903,austria
5936,6073,united states
5977,6115,united states
6098,6242,canada
6107,6251,united states
6221,6366,spain
6354,6501,united states
6395,6543,united states
6417,6566,united states
6426,6575,united states
6428,6577,united states
6501,6652,united states
